biblioteca,classifier,reduction,filtro,min_max,par_amostragem,par_accuracy,err_accuracy,IC,err_precision,err_recall,err_f1score,err_time,parameters
dlibHOG,randomforestclassifier,None,0.0,False,None,0.8181318681318682,0.78,"(0.6823955087742475, 0.8776044912257526)",0.6994444444444444,0.8099999999999999,0.7393162393162392,0.10444541772206624,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 22, 'min_samples_leaf': 1, 'n_estimators': 2000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.0,False,Random,0.7583333333333334,0.7583333333333334,"(0.6621027847136028, 0.854563881953064)",0.7849999999999999,0.755,0.7494444444444445,0.05796721657117208,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 34, 'min_samples_leaf': 2, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.0,False,Smote,0.8181318681318682,0.78,"(0.6823955087742475, 0.8776044912257526)",0.6994444444444444,0.8099999999999999,0.7393162393162392,0.14709040204683937,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 22, 'min_samples_leaf': 1, 'n_estimators': 2000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.0,False,Borderline,0.7901098901098901,0.7345454545454546,"(0.678960204584488, 0.7901307045064212)",0.6433333333333333,0.735,0.6721428571428572,0.0748206889629364,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 106, 'min_samples_leaf': 2, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.0,False,KMeans,0.7840659340659341,0.7436363636363637,"(0.6534372127360337, 0.8338355145366936)",0.7027777777777777,0.64,0.6484432234432235,0.03740844964981079,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 22, 'min_samples_leaf': 1, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.0,False,SVM,0.8181318681318682,0.7436363636363637,"(0.6774766829232124, 0.8097960443495149)",0.6861111111111111,0.73,0.6836813186813187,0.036945293744405104,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 30, 'min_samples_leaf': 1, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.0,False,Tomek,0.8416666666666666,0.78,"(0.6873342520686883, 0.8726657479313118)",0.6950000000000001,0.8099999999999999,0.7377777777777779,0.037814032236735025,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 22, 'min_samples_leaf': 1, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.0,True,None,0.8181318681318682,0.78,"(0.6823955087742475, 0.8776044912257526)",0.6994444444444444,0.8099999999999999,0.7393162393162392,0.1462857457002004,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 22, 'min_samples_leaf': 1, 'n_estimators': 2000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.0,True,Random,0.7583333333333334,0.7583333333333334,"(0.6621027847136028, 0.854563881953064)",0.7849999999999999,0.755,0.7494444444444445,0.07207025488217672,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 34, 'min_samples_leaf': 2, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.0,True,Smote,0.8181318681318682,0.78,"(0.6823955087742475, 0.8776044912257526)",0.6994444444444444,0.8099999999999999,0.7393162393162392,0.14624000390370687,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 22, 'min_samples_leaf': 1, 'n_estimators': 2000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.0,True,Borderline,0.7901098901098901,0.7345454545454546,"(0.678960204584488, 0.7901307045064212)",0.6433333333333333,0.735,0.6721428571428572,0.07362043579419454,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 106, 'min_samples_leaf': 2, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.0,True,KMeans,0.7906593406593407,0.7427272727272727,"(0.6415188007172103, 0.843935744737335)",0.6833333333333333,0.6900000000000001,0.6706349206349206,0.06760517080624898,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 218, 'min_samples_leaf': 1, 'n_estimators': 1000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.0,True,SVM,0.8181318681318682,0.7436363636363637,"(0.6774766829232124, 0.8097960443495149)",0.6861111111111111,0.73,0.6836813186813187,0.03705512563387552,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 30, 'min_samples_leaf': 1, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.0,True,Tomek,0.8416666666666666,0.78,"(0.6873342520686883, 0.8726657479313118)",0.6950000000000001,0.8099999999999999,0.7377777777777779,0.037187420129776,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 22, 'min_samples_leaf': 1, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.98,False,None,0.8032967032967034,0.7709090909090909,"(0.6888375368835621, 0.8529806449346197)",0.6783333333333335,0.8099999999999999,0.7234920634920635,0.1453408865133921,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 12, 'min_samples_leaf': 1, 'n_estimators': 2000, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.98,False,Random,0.7458333333333333,0.7458333333333333,"(0.6621800056283872, 0.8294866610382795)",0.7833333333333333,0.73,0.7354256854256854,0.035976958274841306,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 26, 'min_samples_leaf': 5, 'n_estimators': 500, 'n_jobs': -1, 'random_state': 707878}"
dlibHOG,randomforestclassifier,None,0.98,False,Smote,0.8032967032967034,0.7709090909090909,"(0.6888375368835621, 0.8529806449346197)",0.6783333333333335,0.8099999999999999,0.7234920634920635,0.1473488978544871,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 12, 'min_samples_leaf': 1, 'n_estimators': 2000, 'n_jobs': -1, 'random_state': 707878}"
