id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,n_neighbors,weights,algorithm,leaf_size,n_jobs
0,euclidian_px_all,kneighborsclassifier,PCA,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6499999999999999,0.6799999999999999,0.6471428571428571,1,uniform,auto,1,-1
1,euclidian_px_all,kneighborsclassifier,PCA,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6499999999999999,0.6799999999999999,0.6471428571428571,1,uniform,auto,5,-1
2,euclidian_px_all,kneighborsclassifier,PCA,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6499999999999999,0.6799999999999999,0.6471428571428571,1,uniform,auto,10,-1
3,euclidian_px_all,kneighborsclassifier,PCA,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6499999999999999,0.6799999999999999,0.6471428571428571,1,uniform,auto,20,-1
4,euclidian_px_all,kneighborsclassifier,PCA,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6499999999999999,0.6799999999999999,0.6471428571428571,1,uniform,auto,30,-1
5,euclidian_px_all,kneighborsclassifier,PCA,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6499999999999999,0.6799999999999999,0.6471428571428571,1,uniform,brute,1,-1
6,euclidian_px_all,kneighborsclassifier,PCA,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6499999999999999,0.6799999999999999,0.6471428571428571,1,uniform,brute,5,-1
7,euclidian_px_all,kneighborsclassifier,PCA,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6499999999999999,0.6799999999999999,0.6471428571428571,1,uniform,brute,10,-1
8,euclidian_px_all,kneighborsclassifier,PCA,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6499999999999999,0.6799999999999999,0.6471428571428571,1,uniform,brute,20,-1
9,euclidian_px_all,kneighborsclassifier,PCA,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6499999999999999,0.6799999999999999,0.6471428571428571,1,uniform,brute,30,-1
10,euclidian_px_all,kneighborsclassifier,PCA,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6499999999999999,0.6799999999999999,0.6471428571428571,1,distance,auto,1,-1
11,euclidian_px_all,kneighborsclassifier,PCA,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6499999999999999,0.6799999999999999,0.6471428571428571,1,distance,auto,5,-1
12,euclidian_px_all,kneighborsclassifier,PCA,0.7327272727272727,"(0.6462295357674334, 0.819225009687112)",0.6499999999999999,0.6799999999999999,0.6471428571428571,1,distance,auto,10,-1
