id,dataset,classifier,reduction,accuracy,IC_Accuracy,precision,recall,f1,n_neighbors,weights,algorithm,leaf_size,n_jobs
0,euclidian_px_all,kneighborsclassifier,RFS,0.6500000000000001,"(0.550609090909091, 0.7493909090909092)",0.5616666666666668,0.47000000000000003,0.4988095238095238,1,uniform,auto,1,-1
1,euclidian_px_all,kneighborsclassifier,RFS,0.6500000000000001,"(0.550609090909091, 0.7493909090909092)",0.5616666666666668,0.47000000000000003,0.4988095238095238,1,uniform,auto,5,-1
2,euclidian_px_all,kneighborsclassifier,RFS,0.6500000000000001,"(0.550609090909091, 0.7493909090909092)",0.5616666666666668,0.47000000000000003,0.4988095238095238,1,uniform,auto,10,-1
3,euclidian_px_all,kneighborsclassifier,RFS,0.6500000000000001,"(0.550609090909091, 0.7493909090909092)",0.5616666666666668,0.47000000000000003,0.4988095238095238,1,uniform,auto,20,-1
4,euclidian_px_all,kneighborsclassifier,RFS,0.6500000000000001,"(0.550609090909091, 0.7493909090909092)",0.5616666666666668,0.47000000000000003,0.4988095238095238,1,uniform,auto,30,-1
5,euclidian_px_all,kneighborsclassifier,RFS,0.6500000000000001,"(0.550609090909091, 0.7493909090909092)",0.5616666666666668,0.47000000000000003,0.4988095238095238,1,uniform,brute,1,-1
6,euclidian_px_all,kneighborsclassifier,RFS,0.6500000000000001,"(0.550609090909091, 0.7493909090909092)",0.5616666666666668,0.47000000000000003,0.4988095238095238,1,uniform,brute,5,-1
7,euclidian_px_all,kneighborsclassifier,RFS,0.6500000000000001,"(0.550609090909091, 0.7493909090909092)",0.5616666666666668,0.47000000000000003,0.4988095238095238,1,uniform,brute,10,-1
8,euclidian_px_all,kneighborsclassifier,RFS,0.6500000000000001,"(0.550609090909091, 0.7493909090909092)",0.5616666666666668,0.47000000000000003,0.4988095238095238,1,uniform,brute,20,-1
9,euclidian_px_all,kneighborsclassifier,RFS,0.6500000000000001,"(0.550609090909091, 0.7493909090909092)",0.5616666666666668,0.47000000000000003,0.4988095238095238,1,uniform,brute,30,-1
10,euclidian_px_all,kneighborsclassifier,RFS,0.6500000000000001,"(0.550609090909091, 0.7493909090909092)",0.5616666666666668,0.47000000000000003,0.4988095238095238,1,distance,auto,1,-1
11,euclidian_px_all,kneighborsclassifier,RFS,0.6500000000000001,"(0.550609090909091, 0.7493909090909092)",0.5616666666666668,0.47000000000000003,0.4988095238095238,1,distance,auto,5,-1
12,euclidian_px_all,kneighborsclassifier,RFS,0.6500000000000001,"(0.550609090909091, 0.7493909090909092)",0.5616666666666668,0.47000000000000003,0.4988095238095238,1,distance,auto,10,-1
13,euclidian_px_all,kneighborsclassifier,RFS,0.6500000000000001,"(0.550609090909091, 0.7493909090909092)",0.5616666666666668,0.47000000000000003,0.4988095238095238,1,distance,auto,20,-1
14,euclidian_px_all,kneighborsclassifier,RFS,0.6500000000000001,"(0.550609090909091, 0.7493909090909092)",0.5616666666666668,0.47000000000000003,0.4988095238095238,1,distance,auto,30,-1
15,euclidian_px_all,kneighborsclassifier,RFS,0.6500000000000001,"(0.550609090909091, 0.7493909090909092)",0.5616666666666668,0.47000000000000003,0.4988095238095238,1,distance,brute,1,-1
16,euclidian_px_all,kneighborsclassifier,RFS,0.6500000000000001,"(0.550609090909091, 0.7493909090909092)",0.5616666666666668,0.47000000000000003,0.4988095238095238,1,distance,brute,5,-1
17,euclidian_px_all,kneighborsclassifier,RFS,0.6500000000000001,"(0.550609090909091, 0.7493909090909092)",0.5616666666666668,0.47000000000000003,0.4988095238095238,1,distance,brute,10,-1
18,euclidian_px_all,kneighborsclassifier,RFS,0.6500000000000001,"(0.550609090909091, 0.7493909090909092)",0.5616666666666668,0.47000000000000003,0.4988095238095238,1,distance,brute,20,-1
19,euclidian_px_all,kneighborsclassifier,RFS,0.6500000000000001,"(0.550609090909091, 0.7493909090909092)",0.5616666666666668,0.47000000000000003,0.4988095238095238,1,distance,brute,30,-1
20,euclidian_px_all,kneighborsclassifier,RFS,0.6054545454545454,"(0.5037759639479661, 0.7071331269611246)",0.3333333333333333,0.15,0.2019047619047619,2,uniform,auto,1,-1
21,euclidian_px_all,kneighborsclassifier,RFS,0.6054545454545454,"(0.5037759639479661, 0.7071331269611246)",0.3333333333333333,0.15,0.2019047619047619,2,uniform,auto,5,-1
22,euclidian_px_all,kneighborsclassifier,RFS,0.6054545454545454,"(0.5037759639479661, 0.7071331269611246)",0.3333333333333333,0.15,0.2019047619047619,2,uniform,auto,10,-1
23,euclidian_px_all,kneighborsclassifier,RFS,0.6054545454545454,"(0.5037759639479661, 0.7071331269611246)",0.3333333333333333,0.15,0.2019047619047619,2,uniform,auto,20,-1
